lon_centre,lat_centre,cell_size_sqkm,kg_reported,kg_iuu.est,kg_discards.est,kg_total,kg_reported_persqkm,kg_iuu.est_persqkm,kg_discards.est_persqkm,kg_total_persqkm,frac_reported,frac_iuu.est,frac_discards.est
-32.25,84.25,309.68,2.348,0.8579999999999999,0.004,3.2059999999999995,0.007582020149832084,0.002770601911650736,1.2916559028674761e-5,0.01035262206148282,0.7323767935121648,0.26762320648783533,0.0012476606363069247
-31.75,84.25,309.68,16.274,7.261999999999999,0.9319999999999998,23.536,0.052551020408163264,0.023450012916559022,0.0030095582536812187,0.0760010333247223,0.6914513936097892,0.30854860639021064,0.039598912304554715
-31.25,84.25,309.68,3.006,1.134,0.296,4.14,0.009706794110049082,0.003661844484629294,9.558253681219322e-4,0.013368638594678376,0.7260869565217392,0.27391304347826084,0.07149758454106281
-30.75,84.25,309.68,13.654000000000002,5.01,0.9799999999999998,18.664,0.0440906742443813,0.016177990183415137,0.0031645569620253155,0.06026866442779644,0.7315687955422203,0.2684312044577796,0.052507501071581635
-30.25,84.25,309.68,1.4660000000000002,0.552,0.01,2.0180000000000002,0.004733918884009301,0.0017824851459571172,3.22913975716869e-5,0.006516404029966417,0.7264618434093162,0.2735381565906838,0.004955401387512388
-29.75,84.25,309.68,9.092000000000002,3.3959999999999995,0.892,12.488000000000001,0.02935933867217774,0.01096615861534487,0.0028803926633944716,0.040325497287522605,0.728058936579116,0.271941063420884,0.07142857142857142
-29.25,84.25,309.68,7.2459999999999996,2.802,0.742,10.048,0.023398346680444326,0.00904804959958667,0.0023960216998191682,0.032446396280031,0.7211385350318471,0.2788614649681529,0.07384554140127389
-28.75,84.25,309.68,0.9879999999999999,0.366,0.018,1.3539999999999999,0.0031903900800826653,0.0011818651511237405,5.812451562903642e-5,0.004372255231206406,0.7296898079763663,0.2703101920236337,0.013293943870014771
-73.25,83.75,336.51,0.008,0.004,0,0.012,2.377343912513744e-5,1.188671956256872e-5,0,3.5660158687706165e-5,0.6666666666666666,0.3333333333333333,0
-72.75,83.75,336.51,0.05600000000000001,0.022,0,0.07800000000000001,1.664140738759621e-4,6.537695759412795e-5,0,2.317910314700901e-4,0.717948717948718,0.282051282051282,0
-72.25,83.75,336.51,0.057999999999999996,0.024,0,0.08199999999999999,1.7235743365724644e-4,7.132031737541233e-5,0,2.4367775103265873e-4,0.7073170731707318,0.29268292682926833,0
-71.75,83.75,336.51,0.036000000000000004,0.012,0,0.048,1.069804760631185e-4,3.5660158687706165e-5,0,1.4264063475082466e-4,0.7500000000000001,0.25,0
-71.25,83.75,336.51,0.018000000000000002,0.006000000000000001,0,0.024000000000000004,5.349023803155925e-5,1.7830079343853082e-5,0,7.132031737541233e-5,0.75,0.25,0
-70.75,83.75,336.51,0.034,0.012,0,0.046,1.0103711628183413e-4,3.5660158687706165e-5,0,1.3669727496954027e-4,0.7391304347826088,0.2608695652173913,0
-70.25,83.75,336.51,0.008,0.004,0,0.012,2.377343912513744e-5,1.188671956256872e-5,0,3.5660158687706165e-5,0.6666666666666666,0.3333333333333333,0
-68.25,83.75,336.51,0.004,0.002,0,0.006,1.188671956256872e-5,5.94335978128436e-6,0,1.7830079343853082e-5,0.6666666666666666,0.3333333333333333,0
-39.75,83.75,336.51,166.27399999999994,65.86800000000002,15.146,232.14199999999997,0.49411310213663767,0.1957386110368192,0.04500906362366646,0.6898517131734568,0.7162598754210784,0.28374012457892167,0.06524454859525636
-39.25,83.75,329.78,38.65800000000001,16.882,2.6199999999999997,55.540000000000006,0.11722360361453094,0.051191703559949064,0.007944690399660378,0.16841530717448,0.6960388908894491,0.30396110911055096,0.04717320849837953
-38.75,83.75,296.13,135.92999999999998,51.507999999999996,6.071999999999998,187.438,0.459021375747138,0.17393712220984026,0.020504508155202102,0.6329584979569783,0.725199799400335,0.2748002005996649,0.03239471185138552
-38.25,83.75,312.95,223.91199999999995,86.11199999999998,1.8359999999999996,310.02399999999994,0.7154880971401181,0.27516216648026837,0.005866751877296692,0.9906502636203866,0.7222408587722241,0.2777591412277759,0.00592212215828452
